track_ids,count,producers
"('3rWDp9tBPQR9z6U5YyRSK4', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('3rWDp9tBPQR9z6U5YyRSK4', '5enxwA8aAbwZbf5qCHORXi')",2,"['Jack Antonoff', 'Taylor Swift']"
"('3rWDp9tBPQR9z6U5YyRSK4', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Jack Antonoff', 'Taylor Swift']"
"('3rWDp9tBPQR9z6U5YyRSK4', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Jack Antonoff', 'Taylor Swift']"
"('4P9Q0GojKVXpRTJCaL3kyy', '5enxwA8aAbwZbf5qCHORXi')",1,['Taylor Swift']
"('4P9Q0GojKVXpRTJCaL3kyy', '5jQI2r1RdgtuT8S3iG8zFC')",1,['Taylor Swift']
"('4P9Q0GojKVXpRTJCaL3kyy', '7KokYm8cMIXCsGVmUvKtqf')",1,['Taylor Swift']
"('4ZtFanR9U6ndgddUvNcjcG', '4xqrdfXkTW4T0RauPLv3WA')",1,['Dan Nigro']
"('4ZtFanR9U6ndgddUvNcjcG', '56xHMIfQPoe0prrSi3BGhf')",1,['Dan Nigro']
"('4ZtFanR9U6ndgddUvNcjcG', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('4ZtFanR9U6ndgddUvNcjcG', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('4ZtFanR9U6ndgddUvNcjcG', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('4ZtFanR9U6ndgddUvNcjcG', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('4xqrdfXkTW4T0RauPLv3WA', '56xHMIfQPoe0prrSi3BGhf')",1,['Dan Nigro']
"('4xqrdfXkTW4T0RauPLv3WA', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('4xqrdfXkTW4T0RauPLv3WA', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('4xqrdfXkTW4T0RauPLv3WA', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('4xqrdfXkTW4T0RauPLv3WA', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('56xHMIfQPoe0prrSi3BGhf', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('56xHMIfQPoe0prrSi3BGhf', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('56xHMIfQPoe0prrSi3BGhf', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('56xHMIfQPoe0prrSi3BGhf', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('5CZ40GBx1sQ9agT82CLQCT', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('5CZ40GBx1sQ9agT82CLQCT', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('5CZ40GBx1sQ9agT82CLQCT', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('5JCoSi02qi3jJeHdZXMmR8', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('5JCoSi02qi3jJeHdZXMmR8', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('5N3hjp1WNayUPZrA8kJmJP', '5enxwA8aAbwZbf5qCHORXi')",1,['Jack Antonoff']
"('5N3hjp1WNayUPZrA8kJmJP', '5jQI2r1RdgtuT8S3iG8zFC')",1,['Jack Antonoff']
"('5N3hjp1WNayUPZrA8kJmJP', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
"('5enxwA8aAbwZbf5qCHORXi', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Jack Antonoff', 'Taylor Swift']"
